customer_id,customer_name,segment
C1488,Sai Verma,Consumer
C1489,Krishna Pillai,Home Office
C1490,Vihaan Gupta,Home Office
C1491,Saanvi Pillai,Consumer
C1492,Aditya Shetty,Corporate
C1493,Rohan Verma,Consumer
C1494,Arjun Iyer,Consumer
C1495,Aman Shetty,Consumer
C1496,Ishaan Gupta,Consumer
C1497,Ayaan Reddy,Corporate
C1498,Navya Chopra,Consumer
C1499,Ira Menon,Home Office
C1500,Aman Menon,Home Office
